Reading_Zhou	Reading_Baxter	Pinyin	Fanqie	Segments	Structure	Gloss	Guangyun_ID
pʰ ĭu ə t	pjut	fú	敷勿切	p j u t /⁴	i m n c t	remove dense vegetation	w515b0904
pʰ ĭ u ˥	phjuX	fǔ	芳武切	pʰ j u /²	i m n t	lay the hand on	w315b0504
pʰ ĭ u ˥˩	phju	! pū / fū	芳無切	pʰ j u /¹	i m n t	suffering, exhausted	w135b1006
pʰ ĭ u ˥˩	phju	fū	芳無切	pʰ j u /¹	i m n t	spread out	w135b1003
pʰ ĭ u ˥˩	phju	fū	芳無切	pʰ j u /¹	i m n t	spread widely	w135b0902
pʰ ĭ u ˥˩	phu	! pū / fū	芳無切	pʰ u /¹	i n t	suffering, exhausted	w135b1006
pʰ ĭ u ˥˩	xju	! huā / fū	芳無切	x j u /¹	i m n t	flower	w136a0306
pʰ ĭ u ˩˥	phjuH	! pū / fù	芳遇切	pʰ j u /³	i m n t	fall prostrate	w414a0702
pʰ ĭ u ˩˥	phjuH	fù	芳遇切	pʰ j u /³	i m n t	hasten to	w414a0504
pʰ ĭ u ˩˥	phjuwH	! pū / fù	芳遇切	pʰ j u w /³	i m n c t	fall prostrate	w414a0702
pʰ ĭ u ˩˥	phuwH	! pū / fù	芳遇切	pʰ u w /³	i n c t	fall prostrate	w414a0702
pʰ ĭ u ˩˥	pjuX	! fǔ / fù	芳遇切	p j u /²	i m n t	(a kind of ritual vessel)	w414a0605
pʰ ĭw a ŋ ˥	bang	! páng / fǎng	妃兩切	b a ŋ /¹	i n c t	bang-hwang hestitate	w340b0802
pʰ ĭw a ŋ ˥	phjangX	fǎng	妃兩切	pʰ j a ŋ /²	i m n c t	phjangX-phjut seem	w340b0801
pʰ ĭw a ŋ ˥	phjangX	fǎng	妃兩切	pʰ j a ŋ /²	i m n c t	twist, spin	w340b0804
pʰ ĭw a ŋ ˥˩	phjang	! fáng / fāng	敷方切	pʰ j a ŋ /¹	i m n c t	oppose	w224b0201
pʰ ĭw a ŋ ˥˩	phjang	fāng	敷方切	pʰ j a ŋ /¹	i m n c t	fragrant	w224b0104
pʰ ĭw a ŋ ˩˥	phjang	! fáng / fǎng	敷亮切	pʰ j a ŋ /¹	i m n c t	oppose	w444b0601
pʰ ĭw a ŋ ˩˥	phjangH	fǎng	敷亮切	pʰ j a ŋ /³	i m n c t	enquire, scrutinize	w444b0506
pʰ ĭw o ŋ ˥˩	phjowng	fēng	敷容切	pʰ j o ŋʷ /¹	i m n c t	bee	w115a0204
pʰ ĭw o ŋ ˥˩	phjowng	fēng	敷容切	pʰ j o ŋʷ /¹	i m n c t	point of a weapon	w115a0102
pʰ ĭw ɐi ˩˥	phjojH	fèi	<original_text>方<rewrite_text>芳</rewrite_text> </original_text>廢切	pʰ j o j /³	i m n c t	lung	w427a0403
pʰ ĭw ɐ m ˥˩	bjom	fán	符䒦切	b j o m /¹	i m n c t	in every case	w251b0505
pʰ ĭw ɐ m ˥˩	bjæng	píng	僕兵切	b j æ ŋ /¹	i m n c t	even (adj.)	w251b0504
pʰ ĭw ɐ m ˥˩	bjæng	píng	僕兵切	b j æ ŋ /¹	i m n c t	make even	w251b0504
pʰ ĭw ɐ m ˩˥	bjuwng	fàn	孚梵切	b j u ŋʷ /¹	i m n c t	float about; universally	w454b0304
pʰ ĭw ɐ m ˩˥	phjomH	fàn	孚梵切	pʰ j o m /³	i m n c t	to float	w454b0305
pʰ ĭw ɐ n ˥˩	bænX	! fǎn / fān	孚𡋡切	b æ n /²	i n c t	dignified, grand	w153b0906
pʰ ĭw ɐ n ˥˩	pa	! bō / fān	孚𡋡切	p a /¹	i n t	martial	w153b0808
pʰ ĭw ɐ n ˥˩	phjon	fān	孚𡋡切	pʰ j o n /¹	i m n c t	a turn, a time	w153b0808
pʰ ĭw ɐ n ˥˩	pjonX	! fǎn / fān	孚𡋡切	p j o n /²	i m n c t	reverse (v.)	w153b0906
pʰ ĭw əi ˥	phjɨjX	fěi	敷尾切	pʰ j ɨ j /²	i m n c t	new light of the moon	w312a0301
pʰ ĭw əi ˥˩	phjɨj	fēi	芳非切	pʰ j ɨ j /¹	i m n c t	consort; match	w128b0401
pʰ ĭw əi ˩˥	phjɨjH	fèi	芳未切	pʰ j ɨ j /³	i m n c t	bake in the sun	w411a1002
pʰ ĭw əi ˩˥	phjɨjH	fèi	芳未切	pʰ j ɨ j /³	i m n c t	squander	w411a0905
pʰ ĭ ĕ t	phjit	pǐ	譬吉切	pʰ j i t /⁴	i m n c t	one of a pair	w512a0105
pʰ ĭ ɐ ŋ ˥˩	phæng	! pēng / bàng	撫庚切	pʰ æ ŋ /¹	i n c t	(loan for) to boil	w228a0802
pʰ ĭ ɐ ŋ ˥˩	xjangX	! xiǎng / bàng	撫庚切	x j a ŋ /²	i m n c t	sacrificial offering	w228a0802
pʰ ĭ ɐ ŋ ˥˩	xæng	! hēng / bàng	撫庚切	x æ ŋ /¹	i n c t	penetrate	w228a0802
pʰ ĭ ə k	bjuwk	! fú / bì	芳逼切	b j u kʷ /⁴	i m n c t	fullness	w541b0504
pʰ ĭ ə k	phik	! fù / bì	芳逼切	pʰ i k /⁴	i n c t	split, cut open, cleave	w541b0503
pʰ ĭ ə k	phjuwH	! fù / bì	芳逼切	pʰ j u w /³	i m n c t	secondary	w541b0503
pʰ ĭ əu ˩˥	phik	fù	敷救切	pʰ i k /⁴	i n c t	split, cut open, cleave	w449a0805
pʰ ĭ əu ˩˥	phjuH	! pū / fù	敷救切	pʰ j u /³	i m n t	fall prostrate	w449a0901
pʰ ĭ əu ˩˥	phjuwH	! pū / fù	敷救切	pʰ j u w /³	i m n c t	fall prostrate	w449a0901
pʰ ĭ əu ˩˥	phjuwH	fù	敷救切	pʰ j u w /³	i m n c t	secondary	w449a0805
pʰ ĭ əu ˩˥	phjuwk	fù	敷救切	pʰ j u kʷ /⁴	i m n c t	turn over	w449a0903
pʰ ĭ əu ˩˥	phuwH	! pū / fù	敷救切	pʰ u w /³	i n c t	fall prostrate	w449a0901
pʰ ĭ ɛ k	bek	! bì / pì	芳辟切	b e k /⁴	i n c t	inner coffin	w537a1003
pʰ ĭ ɛ k	phjiek	pì	芳辟切	pʰ j/ji e k /⁴	i m n c t	perverse	w537a1002
pʰ ĭ ɛ k	pjiek	! bì / pì	芳辟切	p j/ji e k /⁴	i m n c t	ruler, prince	w537a1003
pʰ ĭ ɛ n ˥˩	penX	! biǎn / piān	芳連切	p e n /²	i n c t	flat and thin	w205a0605
pʰ ĭ ɛ n ˥˩	phjien	piān	芳連切	pʰ j/ji e n /¹	i m n c t	fly, flutter about	w205a0602
pʰ ĭ ɛ n ˥˩	phjien	piān	芳連切	pʰ j/ji e n /¹	i m n c t	oblique	w205a0601
pʰ ĭ ɛ n ˥˩	phjien	piān	芳連切	pʰ j/ji e n /¹	i m n c t	section in writing	w205a0504
pʰ ĭ ɛ n ˩˥	phjien	! piān / piàn	匹戰切	pʰ j/ji e n /¹	i m n c t	oblique	w437a0903
pʰ ĭ ɛu ˥˩	dzyak	! sháo / 	撫招切	dʑ a k /⁴	i n c t	ladle (n.)	w211a0402
pʰ ĭ ɛ ŋ ˩˥	phjiengH	! pīng / pìn	匹正切	pʰ j/ji e ŋ /³	i m n c t	inquire about (marriage)	w447a0304
pʰ ɐ k	phæk	! pò / pāi	普伯切	pʰ æ k /⁴	i n c t	bodily form	w533a0903
pʰ ɐ k	phæk	pāi	普伯切	pʰ æ k /⁴	i n c t	to strike	w533a0902
pʰ ɑ ŋ ˥˩	phang	! páng / pāng	普郎切	pʰ a ŋ /¹	i n c t	heavy snowfall	w226b0306
pʰ ɒi ˥	phjɨjX	! fěi / pěi	普乃切	pʰ j ɨ j /²	i m n c t	new light of the moon	w321b0804
pʰ ɔ k	phæwk	! pǔ / pú	匹角切	pʰ æ kʷ /⁴	i n c t	unworked wood	w510b0106
pʰ ə k	phjuwk	fù	匹北切	pʰ j u kʷ /⁴	i m n c t	turn over	w543a0105
pʰ əu ˩˥	phjuH	pū	匹候切	pʰ j u /³	i m n t	fall prostrate	w450b0307
pʰ əu ˩˥	phjuwH	pū	匹候切	pʰ j u w /³	i m n c t	fall prostrate	w450b0307
pʰ əu ˩˥	phuwH	pū	匹候切	pʰ u w /³	i n c t	fall prostrate	w450b0307
pʰ ə ŋ ˥˩	pongH	! bèng / pēng	普朋切	p o ŋ /³	i n c t	put coffin in grave	w236b0506
s i ei ˥	sejX	xǐ	先禮切	s e j /²	i n c t	wash	w319a0703
s i ei ˥	sejX	xǐ	先禮切	s e j /²	i n c t	wash	w319a0704
s i ei ˥	senX	! xiǎn / xǐ	先禮切	s e n /²	i n c t	wash	w319a0703
s i ei ˥	srɛjX	! sǎ / xǐ	先禮切	ʂ ɛ j /²	i n c t	sprinkle	w319a0704
s i ei ˥˩	sej	! qī / xī	先稽切	s e j /¹	i n c t	bird's nest	w141b0603
s i ei ˥˩	sej	! qī / xī	先稽切	s e j /¹	i n c t	roost (v.)	w141b0604
s i ei ˥˩	sej	xī	先稽切	s e j /¹	i n c t	rhinoceros	w141b0606
s i ei ˥˩	sej	xī	先稽切	s e j /¹	i n c t	to tarry	w141b0706
s i ei ˥˩	sej	xī	先稽切	s e j /¹	i n c t	west	w141b0206
s i ei ˩˥	sej	! qī / xì	蘇計切	s e j /¹	i n c t	roost (v.)	w417b0501
s i ei ˩˥	sejH	xì	蘇計切	s e j /³	i n c t	small, minute	w417b0407
s i e k	sek	xī	先擊切	s e k /⁴	i n c t	give	w537b0401
s i e k	sek	xī	先擊切	s e k /⁴	i n c t	split (v.)	w537b0402
s i e k	sek	xī	先擊切	s e k /⁴	i n c t	tin	w537b0401
s i e n ˥	sejX	! xǐ / xiǎn	蘇典切	s e j /²	i n c t	wash	w328b0302
s i e n ˥	senX	xiǎn	蘇典切	s e n /²	i n c t	wash	w328b0302
s i e n ˥˩	sen	xiān	蘇前切	s e n /¹	i n c t	first	w201b0701
s i e n ˥˩	senH	! xiàn / xiān	蘇前切	s e n /³	i n c t	go first	w201b0701
s i e n ˩˥	sen	! xiān / sǎn	蘇佃切	s e n /¹	i n c t	first	w434b0602
s i e n ˩˥	senH	! xiàn / sǎn	蘇佃切	s e n /³	i n c t	go first	w434b0602
s i e n ˩˥	senH	! xiàn / sǎn	蘇佃切	s e n /³	i n c t	sleet	w434b0501
s i e p	sep	xiè	蘇協切	s e p /⁴	i n c t	bottom inlay in shoe	w548b0401
s i e t	set	! xiē / xiè	先結切	s e t /⁴	i n c t	wedge put in teeth of corpse	w523a0502
s i eu ˥˩	sew	xiāo	蘇彫切	s e w /¹	i n c t	Artemisia	w207a0901
s i eu ˥˩	sew	xiāo	蘇彫切	s e w /¹	i n c t	pan-pipe	w207b0101
s i eu ˥˩	sew	xiāo	蘇彫切	s e w /¹	i n c t	蕭蕭 neighing of horses	w207a0901
s i eu ˩˥	sewH	xiào	蘇弔切	s e w /³	i n c t	to wail	w437b0501
s i e ŋ ˥˩	seng	xīng	桑經切	s e ŋ /¹	i n c t	star	w233a0104
s i ˥	sijX	sǐ	息𡛷切	s i j /²	i n c t	die (v.)	w309a0201
s i ˥˩	sij	sī	息夷切	s i j /¹	i n c t	private	w123b0301
s i ˩˥	sijH	sì	息利切	s i j /³	i n c t	four	w408b0604
s i ˩˥	sijH	sì	息利切	s i j /³	i n c t	team of four horses	w408b0804
s i ˩˥	sijH	sì	息利切	s i j /³	i n c t	unrestrained	w408b0702
s u k	suwk	sù	桑谷切	s u kʷ /⁴	i n c t	invite	w502b0506
s u k	suwk	sù	桑谷切	s u kʷ /⁴	i n c t	rapid	w502b0506
s u ŋ ˩˥	suwngH	sòng	蘇弄切	s u ŋʷ /³	i n c t	escort (v.), send	w402b0201
s u ɑ n ˥˩	swan	suān	素官切	s w a n /¹	i m n c t	sour	w158b0803
s u ɑ ˥	swaX	suǒ	蘇果切	s w a /²	i m n t	chain	w337a1004
s u ɑ ˥	swaX	suǒ	蘇果切	s w a /²	i m n t	chain	w337a1005
s u ɑ ˥	swaX	suǒ	蘇果切	s w a /²	i m n t	small, fragment	w337a1005
s u ɑ ˥˩	swa	! suō / shā	蘇禾切	s w a /¹	i m n t	raincoat of straw of rush	w216b0406
s u ɒi ˥˩	swa	! suō / 	素回切	s w a /¹	i m n t	raincoat of straw of rush	w145b0104
s u ɒi ˩˥	dzwit	suì	蘇内切	dz w i t /⁴	i m n c t	reprimand; insult	w426a0302
s u ɒi ˩˥	swijH	suì	蘇内切	s w i j /³	i m n c t	reprimand; insult	w426a0302
s u ɒi ˩˥	swojH	suì	蘇内切	s w o j /³	i m n c t	break	w426a0205
s u ɒi ˩˥	tshwojH	! cuì / suì	蘇内切	tsʰ w o j /³	i m n c t	taste (v.)	w426a0303
s u ə n ˥	swonX	sǔn	蘇本切	s w o n /²	i m n c t	diminish, damage	w325b0506
s u ə n ˥˩	swon	sūn	思渾切	s w o n /¹	i m n c t	grandchild; descendant	w155a1007
s u ˥˩	su	sū	素姑切	s u /¹	i n t	gather into sheaves (SW)	w138b1003
s u ˥˩	su	sū	素姑切	s u /¹	i n t	revive	w138b1002
s u ˩˥	suH	sù	桑故切	s u /³	i n t	accuse, inform	w416a0204
s u ˩˥	suH	sù	桑故切	s u /³	i n t	accuse, inform	w416a0206
s u ˩˥	suH	sù	桑故切	s u /³	i n t	complain, accuse	w416a0205
s u ˩˥	suH	sù	桑故切	s u /³	i n t	go against current	w416a0301
s u ˩˥	suH	sù	桑故切	s u /³	i n t	go against the current	w416a0302
s u ˩˥	suH	sù	桑故切	s u /³	i n t	white silk	w416a0303
s w i ˥˩	swij	! suí / suī	息遺切	s w i j /¹	i m n c t	comfort (v.)	w124b0401
s w i ˥˩	swij	suī	息遺切	s w i j /¹	i m n c t	although; even if	w124b0402
s w i ˩˥	dzwit	suì	雖遂切	dz w i t /⁴	i m n c t	reprimand; insult	w407a0102
s w i ˩˥	swijH	suì	雖遂切	s w i j /³	i m n c t	evil forces, noxious influences	w407a0101
s w i ˩˥	swijH	suì	雖遂切	s w i j /³	i m n c t	reprimand; insult	w407a0102
s ĭ a k	sjewH	! xiào / xuē	息約切	s j e w /³	i m n c t	scrape, pare	w529a0101
s ĭ a ŋ ˥	sjangX	xiǎng	息兩切	s j a ŋ /²	i m n c t	think	w340a0502
s ĭ a ŋ ˥˩	sjang	xiāng	息良切	s j a ŋ /¹	i m n c t	Xiāng (personal name)	w223a0306
s ĭ a ŋ ˥˩	sjang	xiāng	息良切	s j a ŋ /¹	i m n c t	belt, sash; girth	w223a0504
s ĭ a ŋ ˥˩	sjang	xiāng	息良切	s j a ŋ /¹	i m n c t	mutually	w223a0502
s ĭ a ŋ ˥˩	sjang	xiāng	息良切	s j a ŋ /¹	i m n c t	remove	w223a0306
s ĭ a ŋ ˥˩	sjangH	! xiàng / xiāng	息良切	s j a ŋ /³	i m n c t	appearance, quality	w223a0502
s ĭ a ŋ ˩˥	sjang	xiāng	息亮切	s j a ŋ /¹	i m n c t	mutually	w444b1004
s ĭ a ŋ ˩˥	sjangH	! xiàng / xiāng	息亮切	s j a ŋ /³	i m n c t	appearance, quality	w444b1004
s ĭ a ˥	sjæX	xiě	悉姐切	s j æ /²	i m n t	depict	w338b0702
s ĭ a ˥	sjæX	xiě	悉姐切	s j æ /²	i m n t	drain off	w338b0702
s ĭ a ˥	sjæX	xiě	悉姐切	s j æ /²	i m n t	to drain off	w338b0802
s ĭ a ˩˥	sjæX	! xiě / xū	司夜切	s j æ /²	i m n t	to drain off	w443a0103
s ĭ e ˥	sjeX	xǐ	斯氏切	s j e /²	i m n t	move (to)	w306b0501
s ĭ e ˥	sjeX	xǐ	斯氏切	s j e /²	i m n t	seal (n.)	w306b0503
s ĭ e ˥˩	sje	sī	息移切	s j e /¹	i m n t	(place name)	w120a1002
s ĭ e ˥˩	sje	sī	息移切	s j e /¹	i m n t	split (v.)	w120a1001
s ĭ e ˥˩	sje	sī	息移切	s j e /¹	i m n t	this	w120a1001
s ĭ e ˩˥	sjeH	cì	斯義切	s j e /³	i m n t	give	w404b0802
s ĭ o ˥	sjoX	! xǔ / xū	私吕切	s j o /²	i m n t	to strain (spirits)	w313a0905
s ĭ o ˥˩	sjoX	! xǔ / xū	相居切	s j o /²	i m n t	to strain (spirits)	w130b0803
s ĭ o ˩˥	sjoH	xù	息據切	s j o /³	i m n t	raw silk, floss	w413a0103
s ĭ u k	sjuwH	! xiù / sù	息逐切	s j u w /³	i m n c t	“mansion“ of the zodiac (where the moon is found on successive nights)	w506b0601
s ĭ u k	sjuwk	sù	息逐切	s j u kʷ /⁴	i m n c t	beat (v.)	w506b0503
s ĭ u k	sjuwk	sù	息逐切	s j u kʷ /⁴	i m n c t	contract (v.); shrivel	w506b0503
s ĭ u k	sjuwk	sù	息逐切	s j u kʷ /⁴	i m n c t	eager; swift	w506b0503
s ĭ u k	sjuwk	sù	息逐切	s j u kʷ /⁴	i m n c t	early morning	w506b0801
s ĭ u k	sjuwk	sù	息逐切	s j u kʷ /⁴	i m n c t	present (v.)	w506b0503
s ĭ u k	sjuwk	sù	息逐切	s j u kʷ /⁴	i m n c t	spend the night	w506b0601
s ĭu ĕ n ˥	swinX	sǔn	思尹切	s w i n /²	i m n c t	‘bamboo sprouts’	w323a1002
s ĭu ĕ n ˥˩	swin	xún	相倫切	s w i n /¹	i m n c t	spec. of plant; (proper name]	w149b0902
s ĭu ĕ t	swit	! xù / 	辛聿切	s w i t /⁴	i m n c t	anxiety	w514b0105
s ĭu ĕ t	swit	! xù / 	辛聿切	s w i t /⁴	i m n c t	entice	w514b0201
s ĭu ĕ t	swit	! xū / 	辛聿切	s w i t /⁴	i m n c t	11th earthly branch	w514b0106
s ĭ u ˥˩	sju	xū	相俞切	s j u /¹	i m n t	beard	w134a0601
s ĭ u ˥˩	sju	xū	相俞切	s j u /¹	i m n t	beard	w134a0701
s ĭ u ˥˩	tshjuH	! qù / xū	相俞切	tsʰ j u /³	i m n t	take a wife	w134a0802
s ĭw e ˥	sjweX	suǐ	息委切	s ɥ e /²	i m n t	marrow	w305b0603
s ĭw e ˩˥	sjweH	! suǐ / suì	思累切	s ɥ e /³	i m n t	slippery	w406a0604
s ĭw ɛ n ˥	sjwenX	xuǎn	思兖切	s ɥ e n /²	i m n c t	choose; count	w331b0704
s ĭw ɛ n ˥˩	sjwen	xuān	須縁切	s ɥ e n /¹	i m n c t	spread (v.)	w205b0401
s ĭw ɛ n ˩˥	sjwenX	xuǎn	息絹切	s ɥ e n /²	i m n c t	choose; count	w437a0507
s ĭw ɛ t	sjwet	xuě	相絕切	s ɥ e t /⁴	i m n c t	snow	w526b0604
s ĭ ĕ m ˥˩	sim	xīn	息林切	s i m /¹	i n c t	heart	w244b0707
s ĭ ĕ n ˥˩	sin	xīn	息鄰切	s i n /¹	i n c t	8th heavenly stem	w147b0201
s ĭ ĕ n ˥˩	sin	xīn	息鄰切	s i n /¹	i n c t	firewood	w147b0301
s ĭ ĕ n ˥˩	sin	xīn	息鄰切	s i n /¹	i n c t	new	w147b0105
s ĭ ĕ n ˥˩	sin	xīn	息鄰切	s i n /¹	i n c t	pungent; painful	w147b0201
s ĭ ĕ n ˩˥	sinH	! xùn / xìn	息晉切	s i n /³	i n c t	ask	w427b0201
s ĭ ĕ n ˩˥	sinH	xìn	息晉切	s i n /³	i n c t	truthful	w427b0104
s ĭ ĕ t	sit	xī	息七切	s i t /⁴	i n c t	completely	w511b0604
s ĭ ĕ t	sit	xī	息七切	s i t /⁴	i n c t	knee	w511b0606
s ĭ ə k	sik	xī	相即切	s i k /⁴	i n c t	breathe	w540a0501
s ĭ ə k	sik	xī	相即切	s i k /⁴	i n c t	extinguish	w540a0605
s ĭ əu ˥˩	sjuw	xiū	息流切	s j u w /¹	i m n c t	adorn	w238a1001
s ĭ əu ˥˩	sjuw	xiū	息流切	s j u w /¹	i m n c t	dried meat	w238a0905
s ĭ əu ˥˩	sjuw	xiū	息流切	s j u w /¹	i m n c t	shame	w238a1002
s ĭ əu ˩˥	sjuwH	xiù	息救切	s j u w /³	i m n c t	embroider	w449b0504
s ĭ əu ˩˥	sjuwH	xiù	息救切	s j u w /³	i m n c t	to flower	w449b0503
s ĭ əu ˩˥	sjuwH	xiù	息救切	s j u w /³	i m n c t	“mansion“ of the zodiac (where the moon is found on successive nights)	w449b0603
s ĭ əu ˩˥	sjuwk	! sù / xiù	息救切	s j u kʷ /⁴	i m n c t	spend the night	w449b0603
s ĭ ə ˥	siX	xǐ	胥里切	s i /²	i n t	hemp	w310b0904
s ĭ ə ˥˩	si	sī	息兹切	s i /¹	i n t	silk	w126a0803
s ĭ ə ˥˩	si	sī	息兹切	s i /¹	i n t	superintend	w126a0603
s ĭ ə ˥˩	si	sī	息兹切	s i /¹	i n t	think	w126a0601
s ĭ ə ˩˥	si	! sī / sì	相吏切	s i /¹	i n t	think	w409b1006
s ĭ ɛ k	sjek	! xì / xī	思積切	s j e k /⁴	i m n c t	salty soil	w535b0502
s ĭ ɛ k	sjek	! xì / xī	思積切	s j e k /⁴	i m n c t	slipper, shoe	w535b0504
s ĭ ɛ k	sjek	xī	思積切	s j e k /⁴	i m n c t	in the past	w535b0401
s ĭ ɛ k	sjek	xī	思積切	s j e k /⁴	i m n c t	regret; alas	w535b0501
s ĭ ɛ k	tshjak	! xì / xī	思積切	tsʰ j a k /⁴	i m n c t	slipper, shoe	w535b0504
s ĭ ɛ m ˥˩	yuwng	! róng / xiān	息廉切	j u ŋʷ /¹	i n c t	to sacrifice on a following day	w248b0206
s ĭ ɛ n ˥	sjen	! xiān / xiǎn	息淺切	s j e n /¹	i m n c t	fresh; good	w329b0504
s ĭ ɛ n ˥	sjenX	! xuǎn / xiǎn	息淺切	s j e n /²	i m n c t	ringworm	w329b0507
s ĭ ɛ n ˥	sjenX	xiǎn	息淺切	s j e n /²	i m n c t	autumnal hunt	w329b0501
s ĭ ɛ n ˥	sjenX	xiǎn	息淺切	s j e n /²	i m n c t	rare, few	w329b0504
s ĭ ɛ n ˥˩	sjen	xiān	相然切	s j e n /¹	i m n c t	fresh; good	w204a0105
s ĭ ɛ n ˥˩	sjen	xiān	相然切	s j e n /¹	i m n c t	immortal	w203b1002
s ĭ ɛ n ˥˩	sjen	xiān	相然切	s j e n /¹	i m n c t	immortal (n.)	w203b1001
s ĭ ɛ n ˥˩	sjenX	! xiǎn / xiān	相然切	s j e n /²	i m n c t	rare, few	w204a0105
s ĭ ɛ n ˩˥	sjen	! xiān / xiàn	私箭切	s j e n /¹	i m n c t	fresh; good	w436a0402
s ĭ ɛ n ˩˥	sjenX	! xiǎn / xiàn	私箭切	s j e n /²	i m n c t	rare, few	w436a0402
s ĭ ɛ t	sjet	! xiè / xuē	私列切	s j e t /⁴	i m n c t	garment next to the body	w525b0701
s ĭ ɛ t	sjet	! xiè / xuē	私列切	s j e t /⁴	i m n c t	leak, ooze	w525b0703
s ĭ ɛ t	yejH	! xiè / xuē	私列切	j e j /³	i n c t	leak, ooze	w525b0703
s ĭ ɛu ˥	sjewX	xiǎo	私兆切	s j e w /²	i m n c t	small	w333a0201
s ĭ ɛu ˥˩	sjew	xiāo	相邀切	s j e w /¹	i m n c t	be at ease	w208b0805
s ĭ ɛu ˥˩	sjew	xiāo	相邀切	s j e w /¹	i m n c t	dissolve; disappear	w208b0802
s ĭ ɛu ˥˩	sjew	xiāo	相邀切	s j e w /¹	i m n c t	night, evening	w208b0801
s ĭ ɛu ˥˩	sjew	xiāo	相邀切	s j e w /¹	i m n c t	sleet	w208b0803
s ĭ ɛu ˩˥	sjew	! xiāo / 	私妙切	s j e w /¹	i m n c t	disappear	w438a0603
s ĭ ɛu ˩˥	sjewH	! xiào / 	私妙切	s j e w /³	i m n c t	resemble	w438a0603
s ĭ ɛ ŋ ˥	sjengX	! xǐng / shěng	息井切	s j e ŋ /²	i m n c t	inspect	w344a0201
s ĭ ɛ ŋ ˩˥	sjengH	xìng	息正切	s j e ŋ /³	i m n c t	nature	w447a0203
s ĭ ɛ ŋ ˩˥	sjengH	xìng	息正切	s j e ŋ /³	i m n c t	surname	w447a0204
s ɑ k	sak	suǒ	蘇各切	s a k /⁴	i n c t	search (v.)	w531a0904
s ɑ k	sak	suǒ	蘇各切	s a k /⁴	i n c t	twist a rope	w531a0904
s ɑ m ˥˩	sam	sān	蘇甘切	s a m /¹	i n c t	three	w247b0401
s ɑ m ˥˩	samH	sān	蘇甘切	s a m /³	i n c t	thrice	w247b0401
s ɑ m ˥˩	srim	! shēn / sān	蘇甘切	ʂ i m /¹	i n c t	(name of constellation)	w247b0501
s ɑ m ˥˩	tshom	! cān / sān	蘇甘切	tsʰ o m /¹	i n c t	accumulate	w247b0501
s ɑ m ˥˩	tshom	! cān / sān	蘇甘切	tsʰ o m /¹	i n c t	straight	w247b0501
s ɑ m ˥˩	tshom	! cān / sān	蘇甘切	tsʰ o m /¹	i n c t	three	w247b0501
s ɑ m ˥˩	tsrhim	! cēn / sān	蘇甘切	ʈʂʰ i m /¹	i n c t	uneven	w247b0501
s ɑ m ˩˥	sam	sān	蘇暫切	s a m /¹	i n c t	three	w453a0502
s ɑ m ˩˥	samH	sān	蘇暫切	s a m /³	i n c t	thrice	w453a0502
s ɑ n ˥	sanH	sàn	蘇旱切	s a n /³	i n c t	scatter (v.t.)	w326b0105
s ɑ n ˥	sanX	! sǎn / sàn	蘇旱切	s a n /²	i n c t	scattered (adj.)	w326b0105
s ɑ n ˩˥	sanH	! sàn / 	蘇旰切	s a n /³	i n c t	scatter (v.t.)	w432b0304
s ɑ n ˩˥	sanX	! sǎn / 	蘇旰切	s a n /²	i n c t	scattered (adj.)	w432b0304
s ɑ t	sat	! sà / sǎ	桑割切	s a t /⁴	i n c t	to slap from the side	w519b0801
s ɑu ˥	sawH	! sào / sǎo	蘇老切	s a w /³	i n c t	dry	w335b0303
s ɑu ˥	sawX	! zào / sǎo	蘇老切	s a w /²	i n c t	dry	w335b0303
s ɑu ˥˩	saw	sāo	蘇遭切	s a w /¹	i n c t	disturb	w214a0102
s ɑu ˥˩	saw	sāo	蘇遭切	s a w /¹	i n c t	fat of swine or dog	w214a0106
s ɑu ˥˩	saw	sāo	蘇遭切	s a w /¹	i n c t	scratch (v.)	w214a0103
s ɑu ˥˩	tsawX	! zǎo / sāo	蘇遭切	ts a w /²	i n c t	bleach; wash	w214a0105
s ɑ ŋ ˥	sangX	sǎng	蘇朗切	s a ŋ /²	i n c t	forehead	w341a0904
s ɑ ŋ ˥˩	sang	sāng	息郎切	s a ŋ /¹	i n c t	mourning, burial	w225b0801
s ɑ ŋ ˥˩	sang	sāng	息郎切	s a ŋ /¹	i n c t	mulberry tree	w225b0605
s ɑ ŋ ˥˩	sangH	! sàng / sāng	息郎切	s a ŋ /³	i n c t	lose; destroy	w225b0801
s ɑ ŋ ˩˥	sang	! sāng / sàng	蘇浪切	s a ŋ /¹	i n c t	mourning, burial	w445b0701
s ɑ ŋ ˩˥	sangH	sàng	蘇浪切	s a ŋ /³	i n c t	lose; destroy	w445b0701
s ɑ ˥	sa	! suō / cī	蘇可切	s a /¹	i n t	ba.sa saunter, dance	w336b0404
s ɑ ˥˩	sa	! xiàn / suō	素何切	s a /¹	i n t	offer, present	w215a0606
s ɑ ˥˩	sa	suō	素何切	s a /¹	i n t	ba.sa saunter, dance	w215a0601
s ɑ ˥˩	xjonH	! xiàn / suō	素何切	x j o n /³	i m n c t	offer, present	w215a0606
s ɒi ˩˥	sojH	sài	先代切	s o j /³	i n c t	frontier	w426b0203
s ɒi ˩˥	sojH	sài	先代切	s o j /³	i n c t	pass (n.)	w426b0203
s ɒi ˩˥	sok	! sè / sài	先代切	s o k /⁴	i n c t	stop up, block (v.)	w426b0203
